"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Diomedea cauta (Gould, 1841)","Albatros timide","Thalassarche cauta (Gould, 1841)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442421
NA,"Diomedea chlororhynchos (Gmelin, 1789)","Albatros à bec jaune","Thalassarche chlororhynchos (Gmelin, 1789)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",528806
NA,"Diomedea chrysostoma (J.-R. Forster, 1785)","Albatros à tête grise","Thalassarche chrysostoma (Forster, 1785)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442423
NA,"Diomedea exulans (Linnaeus, 1758)","Grand albatros","Diomedea exulans Linnaeus, 1758","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",988
NA,"Diomedea melanophris (Temminck, 1828)","Albatros à sourcils noirs","Thalassarche melanophris (Temminck, 1828)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442424
NA,"Eudyptes chrysocome  (J.-R. Forster, 1781)","Gorfou sauteur","Eudyptes chrysocome filholi Hutton, 1879","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",836873
NA,"Eudyptes chrysocome  (J.-R. Forster, 1781)","Gorfou sauteur","Eudyptes chrysocome (Forster, 1781)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",441902
NA,"Eudyptes chrysolophus (Brandt, 1837)","Gorfou maraconi","Eudyptes chrysolophus (Brandt, 1837)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",441903
NA,"Eudyptes schlegeli (Finsch, 1876)","Gorfou de Schlegel","Eudyptes schlegeli Finsch, 1876","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",645587
NA,"Fregetta grallaria (Vieillot, 1817)","Océanite à ventre blanc","Fregetta grallaria (Vieillot, 1818)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",432682
NA,"Fregetta tropica (Gould, 1844)","Océanite à ventre noir","Fregetta tropica (Gould, 1844)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",441932
NA,"Fulmarus glacialoides (A. Smith, 1840)","Fulmar antarctique","Fulmarus glacialoides (A. Smith, 1840)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",626335
NA,"Garrodia nereis (Gould, 1841)","Océanite à croupion gris","Garrodia nereis (Gould, 1841)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",441945
NA,"Halobaena caerulea (Gmelin, 1789)","Pétrel bleu","Halobaena caerulea (Gmelin, 1789)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",441969
NA,"Larus dominicanus (Lichtenstein, 1823)","Goéland dominicain","Larus dominicanus judithae Jiguet, 2002","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",713017
NA,"Larus dominicanus (Lichtenstein, 1823)","Goéland dominicain","Larus dominicanus Lichtenstein, 1823","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442022
NA,"Macronectes giganteus (Gmelin, 1789)","Pétrel géant antarctique","Macronectes giganteus (Gmelin, 1789)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",994
NA,"Macronectes halli (Mathews, 1912)","Pétrel géant subantarctique","Macronectes halli Mathews, 1912","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",253474
NA,"Oceanites oceanicus (Kuhl, 1820)","Océanite de Wilson","Oceanites oceanicus (Kuhl, 1820)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",1039
NA,"Pachyptila belcheri (Mathews, 1912)","Prion de Belcher","Pachyptila belcheri (Mathews, 1912)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442170
NA,"Pachyptila desolata (Gmelin, 1789)","Prion de la désolation","Pachyptila desolata (Gmelin, 1789)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442172
NA,"Pachyptila macgillivrayi (Mathews, 1912)","Prion de Macgillivray","Pachyptila salvini macgillivrayi (Mathews, 1912)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",836264
NA,"Pachyptila salvini (Mathews, 1912)","Prion de Salvin","Pachyptila salvini (Mathews, 1912)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442173
NA,"Pachyptila turtur (Kuhl, 1820)","Petit prion","Pachyptila turtur (Kuhl, 1820)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442174
NA,"Pagodroma nivea (G. Forster, 1777)","Pétrel des neiges","Pagodroma nivea (G. Forster, 1777)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442180
NA,"Pelecanoides georgicus (Murphy & Harper, 1916)","Pétrel plongeur de Géorgie du Sud","Pelecanoides georgicus Murphy & Harper, 1916","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442186
NA,"Pelecanoides urinatrix (Gmelin, 1789)","Pétrel plongeur commun","Pelecanoides urinatrix exsul (Salvin, 1896)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",816911
NA,"Pelecanoides urinatrix (Gmelin, 1789)","Pétrel plongeur commun","Pelecanoides urinatrix (Gmelin, 1789)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442187
NA,"Phalacrocorax melanogenis (Blyth, 1860)","Cormoran de Crozet","Phalacrocorax melanogenis (Blyth, 1860)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",645583
NA,"Phalacrocorax verrucosus (Cabanis, 1875)","Cormoran de Kerguelen","Phalacrocorax verrucosus (Cabanis, 1875)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",432600
NA,"Phoebetria fusca (Hilsenberg, 1822)","Albatros fuligineux à dos sombre","Phoebetria fusca (Hilsenberg, 1822)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442214
NA,"Phoebetria palpebrata (J.-R. Forster, 1785)","Albatros fuligineux à dos clair","Phoebetria palpebrata (J. R. Forster, 1785)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442215
NA,"Procellaria aequinoctialis (Linnaeus, 1758)","Pétrel à menton blanc","Procellaria aequinoctialis Linnaeus, 1758","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442267
NA,"Procellaria cinerea (Gmelin, 1789)","Pétrel gris","Procellaria cinerea Gmelin, 1789","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442268
NA,"Pterodroma brevirostris (Lesson, 1831)","Pétrel de Kerguelen","Aphrodroma brevirostris (Lesson, 1831)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",670322
NA,"Pterodroma lessonii (Garnot, 1826)","Pétrel à tête blanche","Pterodroma lessonii (Garnot, 1826)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442289
NA,"Pterodroma macroptera  (A. Smith, 1840)","Pétrel noir","Pterodroma macroptera (A. Smith, 1840)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442291
NA,"Pterodroma mollis (Gould, 1844)","Pétrel soyeux","Pterodroma mollis (Gould, 1844)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",364283
NA,"Puffinus assimilis (Gould, 1838)","Petit puffin","Puffinus assimilis elegans Giglioli & Salvadori, 1869","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",886129
NA,"Puffinus assimilis (Gould, 1838)","Petit puffin","Puffinus assimilis Gould, 1838","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",1020
NA,"Puffinus carneipes (Gould, 1844)","Puffin à pieds pâles","Ardenna carneipes (Gould, 1844)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",836265
NA,"Pygoscelis adeliae (Hombron & Jacquinot, 1841)","Manchot Adelie","Pygoscelis adeliae (Hombron & Jacquinot, 1841)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442302
NA,"Pygoscelis antarctica (J.-R. Forster, 1781)","Manchot à jugulaire","Pygoscelis antarcticus (Forster, 1781)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",459522
NA,"Pygoscelis papua (J.-R. Forster, 1781)","Manchot papou","Pygoscelis papua (J. R. Forster, 1781)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442304
NA,"Sterna fuscata (Linnaeus, 1766)","Sterne fuligineuse","Onychoprion fuscatus (Linnaeus, 1766)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",528760
NA,"Sterna virgata (Cabanis, 1875)","Sterne de Kerguelen","Sterna virgata Cabanis, 1875","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442384
NA,"Sterna vittata  (Gmelin, 1789)","Sterne subantarctique","Sterna vittata Gmelin, 1789","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442385
NA,"Sula serrator (G.R. Gray, 1843)","Fou austral","Morus serrator (G.R. Gray, 1843)","Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises","Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)","Article 1",442086
NA,"Acipenser sturio","Esturgeon","Acipenser sturio Linnaeus, 1758","Protection de l’espèce Acipenser sturio (esturgeon)","Arrêté interministériel du 20 décembre 2004 relatif à la protection de l’espèce Acipenser sturio (esturgeon)",NA,66775
NA,"Centrostephanus longispinus (Philippi, 1845)","Oursin diadème, oursin à longs piquants","Centrostephanus longispinus (Philippi, 1845)","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",159448
NA,"Lithophaga lithophaga (Linnaeus, 1758)","Datte de mer","Lithophaga lithophaga (Linnaeus, 1758)","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",64357
NA,"Patella ferruginea (Gmelin, 1791)","Patelle géante","Patella ferruginea Gmelin, 1791","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",61841
NA,"Pinna nobilis (Linnaeus, 1758)","Grande nacre, jambonneau hérissé","Pinna nobilis Linnaeus, 1758","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",64365
NA,"Pinna pernula (Chemnitz, 1785)","jambonneau rude","Pinna rudis Linnaeus, 1758","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",199181
NA,"Scyllarides latus (Latreille, 1803)","Grande cigale de mer","Scyllarides latus (Latreille, 1803)","Liste des animaux de la faune marine protégés sur l’ensemble du territoire français métropolitain","Arrêté interministériel du 20 décembre 2004 fixant la liste des animaux de la faune marine protégés sur l’ensemble du territoire (JORF 7 janvier 2005, p. 325) (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, p. 17531)","Article 1",18445
NA,"Gypaetus barbatus","gypaète barbu","Gypaetus barbatus (Linnaeus, 1758)","Interdiction de la perturbation intentionnelle du gypaète barbu","Arrêté du 12 décembre 2005 portant interdiction de la perturbation intentionnelle du gypaète barbu, modifié par l'arrêté ministériel du 23 juillet 2013","Article 1",2852
NA,"Euphydryas aurinia beckeri (Lederer, 1853)","","Euphydryas beckeri (Lederer, 1853)","Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection","Article 3",829898
NA,"Aphaenops ssp. Bonvouloir, 1861","Les Aphaenops","Aphaenops aeacus (Saulcy, 1864)","Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection","Article 3",793282
NA,"Aphaenops ssp. Bonvouloir, 1861","Les Aphaenops","Aphaenops alberti Jeannel, 1939","Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection","Article 3",458944
NA,"Aphaenops ssp. Bonvouloir, 1861","Les Aphaenops","Aphaenops baretosanus baretosanus Jeannel, 1941","Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection","Article 3",795419
NA,"Aphaenops ssp. Bonvouloir, 1861","Les Aphaenops","Aphaenops baretosanus gaudini Jeannel, 1947","Liste des insectes protégés sur l'ensemble du territoire et les modalités de leur protection","Arrêté interministériel du 23 avril 2007 fixant la liste des insectes protégés sur l’ensemble du territoire et les modalités de leur protection","Article 3",795420
